global_step,phase,run,epoch,loss,lr
14581,pretrain,ep-3-res,,0.160929,9.739742308906779e-06
14631,pretrain,ep-3,,0.160971,9.737907252122755e-06
14681,pretrain,ep-3-res,,0.16065,9.736065924534533e-06
14731,pretrain,ep-3-res,,0.160667,9.73421832860517e-06
14781,pretrain,ep-3-res,,0.160461,9.732364466806115e-06
14831,pretrain,ep-3,,0.160915,9.730504341617194e-06
14881,pretrain,ep-3-res,,0.160426,9.728637955526619e-06
14931,pretrain,ep-3,,0.160632,9.726765311030973e-06
14981,pretrain,ep-3,,0.160566,9.724886410635199e-06
15031,pretrain,ep-3,,0.16042,9.723001256852629e-06
15281,pretrain,ep-3-res,,0.160173,9.71348177568934e-06
15331,pretrain,ep-3-res,,0.160205,9.7115591548339e-06
15881,pretrain,ep-3-res,,0.160004,9.689999350251601e-06
15931,pretrain,ep-3-res,,0.159975,9.688002074803961e-06
15981,pretrain,ep-3-res,,0.15994,9.685998595308064e-06
16031,pretrain,ep-3-res,,0.159949,9.683988914443849e-06
16181,pretrain,ep-3-res,,0.159959,9.677922690565419e-06
16331,pretrain,ep-3-res,,0.160071,9.671800751646913e-06
16381,pretrain,ep-3-res,,0.160028,9.66974773693992e-06
16431,pretrain,ep-3-res,,0.160048,9.667688542602665e-06
16531,pretrain,ep-3-res,,0.160133,9.663551626063621e-06
16581,pretrain,ep-3-res,,0.160211,9.661473909395589e-06
16631,pretrain,ep-3-res,,0.160179,9.659390024164825e-06
16681,pretrain,ep-3-res,,0.160116,9.657299973158859e-06
16731,pretrain,ep-3-res,,0.160154,9.655203759173442e-06
16781,pretrain,ep-3-res,,0.160127,9.6531013850126e-06
16831,pretrain,ep-3-res,,0.160174,9.650992853488585e-06
16881,pretrain,ep-3-res,,0.160182,9.648878167421871e-06
16931,pretrain,ep-3-res,,0.160232,9.646757329641197e-06
16981,pretrain,ep-3-res,,0.160151,9.644630342983504e-06
17031,pretrain,ep-3-res,,0.160102,9.642497210293959e-06
17131,pretrain,ep-3-res,,0.160023,9.638212518241154e-06
17231,pretrain,ep-3-res,,0.159931,9.63390327640853e-06
17381,pretrain,ep-3-res,,0.159909,9.627393433295782e-06
17481,pretrain,ep-3-res,,0.159843,9.623022918175544e-06
17931,pretrain,ep-3-res,,0.159732,9.603053143062694e-06
17981,pretrain,ep-3-res,,0.15979,9.600803787262622e-06
18081,pretrain,ep-3-res,,0.159763,9.59628681645843e-06
18181,pretrain,ep-3-res,,0.159659,9.591745520202908e-06
18281,pretrain,ep-3-res,,0.159771,9.587179922794816e-06
18331,pretrain,ep-3-res,,0.159718,9.584888018787464e-06
18381,pretrain,ep-3-res,,0.159745,9.582590048662901e-06
18431,pretrain,ep-3-res,,0.159708,9.580286015495032e-06
18531,pretrain,ep-3-res,,0.159688,9.575659772365473e-06
18681,pretrain,ep-3-res,,0.159664,9.568675012159722e-06
18781,pretrain,ep-3-res,,0.159697,9.56398827801626e-06
18831,pretrain,ep-3-res,,0.159679,9.561635852134368e-06
18881,pretrain,ep-3-res,,0.159704,9.559277391238664e-06
18981,pretrain,ep-3-res,,0.159646,9.55454237703309e-06
